Nama Siswa,Nilai
Siswa_1,59
Siswa_2,79
Siswa_3,61
Siswa_4,74
Siswa_5,50
Siswa_6,70
Siswa_7,100
Siswa_8,84
Siswa_9,78
Siswa_10,61
Siswa_11,92
Siswa_12,60
Siswa_13,78
Siswa_14,87
Siswa_15,57
Siswa_16,73
Siswa_17,53
Siswa_18,54
Siswa_19,97
Siswa_20,52
Siswa_21,84
Siswa_22,89
Siswa_23,52
Siswa_24,90
Siswa_25,52
Siswa_26,64
Siswa_27,96
Siswa_28,100
Siswa_29,84
Siswa_30,60
Siswa_31,85
Siswa_32,63
Siswa_33,64
Siswa_34,68
Siswa_35,67
Siswa_36,52
Siswa_37,79
Siswa_38,55
Siswa_39,88
Siswa_40,95
Siswa_41,78
Siswa_42,66
Siswa_43,71
Siswa_44,64
Siswa_45,51
Siswa_46,77
Siswa_47,90
Siswa_48,83
Siswa_49,99
Siswa_50,56
Siswa_51,68
Siswa_52,88
Siswa_53,62
Siswa_54,98
Siswa_55,58
Siswa_56,92
Siswa_57,60
Siswa_58,55
Siswa_59,93
Siswa_60,60
Siswa_61,53
Siswa_62,79
Siswa_63,75
Siswa_64,83
Siswa_65,58
Siswa_66,50
Siswa_67,75
Siswa_68,61
Siswa_69,57
Siswa_70,98
Siswa_71,85
Siswa_72,57
Siswa_73,53
Siswa_74,55
Siswa_75,54
Siswa_76,64
Siswa_77,51
Siswa_78,65
Siswa_79,68
Siswa_80,51
Siswa_81,99
Siswa_82,89
Siswa_83,92
Siswa_84,56
Siswa_85,96
Siswa_86,79
Siswa_87,76
Siswa_88,71
Siswa_89,98
Siswa_90,89
Siswa_91,92
Siswa_92,65
Siswa_93,50
Siswa_94,84
Siswa_95,67
Siswa_96,59
Siswa_97,57
Siswa_98,70
Siswa_99,66
Siswa_100,78
